title,price,district,location,link
4-комнатная квартира · 199.8 м² · 3/6 этаж,180 000 000 〒,Нажимеденова 14,"Алматы р-н, Нажимеденова 14",https://krisha.kz/a/show/697762890
2-комнатная квартира · 69.3 м² · 3/10 этаж,38 000 000 〒,Р.Кошкарбаева 15 — Район мечети Хазрет Султан,"Алматы р-н, Р.Кошкарбаева 15 — Район мечети Хазрет Султан",https://krisha.kz/a/show/761558843
2-комнатная квартира · 47 м² · 4/15 этаж,23 500 000 〒,Бейбарыс Султан,"Сарыарка р-н, Бейбарыс Султан",https://krisha.kz/a/show/760438026
2-комнатная квартира · 70 м²,25 000 000 〒,20/1 20,"Есильский р-н, Улица Е-314, 20/1 20",https://krisha.kz/a/show/761626165
4-комнатная квартира · 153.15 м² · 11/15 этаж,151 000 000 〒,Турар Рыскулов 3,"Есильский р-н, Турар Рыскулов 3",https://krisha.kz/a/show/762245403
2-комнатная квартира · 58.7 м² · 2/17 этаж,26 500 000 〒,Кудайбердыулы,"Алматы р-н, Кудайбердыулы",https://krisha.kz/a/show/762014920
1-комнатная квартира · 40 м² · 1/12 этаж,17 200 000 〒,Каршыга Ахмедьярова 2,"Алматы р-н, Каршыга Ахмедьярова 2",https://krisha.kz/a/show/761572085
2-комнатная квартира · 59 м² · 2 этаж,23 500 000 〒,Косшыгулулы 6/2,"Сарыарка р-н, Косшыгулулы 6/2",https://krisha.kz/a/show/760062374
1-комнатная квартира · 52 м² · 7/14 этаж,21 500 000 〒,Отырар 18,"р-н Байконур, Отырар 18",https://krisha.kz/a/show/698105564
1-комнатная квартира · 42 м² · 6/10 этаж,20 500 000 〒,Мустафина 15,"Алматы р-н, Мустафина 15",https://krisha.kz/a/show/697045484
2-комнатная квартира · 54.12 м²,от 25 111 680 〒,Е-15 5,"Нура р-н, Е-15 5",https://krisha.kz/a/show/762069028
3-комнатная квартира · 90.86 м²,от 41 341 300 〒,Е 915 12,"Есильский р-н, Е 915 12",https://krisha.kz/a/show/762070508
2-комнатная квартира · 52.23 м²,от 40 530 480 〒,Е-899 3,"Нура р-н, Е-899 3",https://krisha.kz/a/show/697969334
3-комнатная квартира · 83.6 м²,от 36 700 000 〒,Молдагалиева,"Нура р-н, Молдагалиева",https://krisha.kz/a/show/689253110
2-комнатная квартира · 69.59 м²,от 25 748 300 〒,Е117,"Есильский р-н, Е117",https://krisha.kz/a/show/678784700
1-комнатная квартира · 27.4 м²,от 6 576 000 〒,Укили Ыбырай 15,"Нура р-н, мкр Уркер, Укили Ыбырай 15",https://krisha.kz/a/show/48623111
1-комнатная квартира · 35.62 м²,от 12 467 000 〒,Е-779 32/1,"Есильский р-н, Е-779 32/1",https://krisha.kz/a/show/762170352
2-комнатная квартира · 53.3 м² · 12/12 этаж,24 000 000 〒,Бейбарыс Султан 25/4,"Сарыарка р-н, Бейбарыс Султан 25/4",https://krisha.kz/a/show/761365098
2-комнатная квартира · 62 м² · 2/21 этаж,38 000 000 〒,Ракымжан Кошкарбаев 36 — Нурмагамбетова Хазрет Султан,"Сарайшык р-н, Ракымжан Кошкарбаев 36 — Нурмагамбетова Хазрет Султан",https://krisha.kz/a/show/762229192
1-комнатная квартира · 39 м² · 5/9 этаж,28 000 000 〒,Туркестан 4Б,"Есильский р-н, Туркестан 4Б",https://krisha.kz/a/show/761604919
4-комнатная квартира · 200 м² · 2/9 этаж,68 700 000 〒,Сарыарка 16 — Бегельдинова,"Сарыарка р-н, Сарыарка 16 — Бегельдинова",https://krisha.kz/a/show/761568123
3-комнатная квартира · 67 м² · 9/9 этаж,25 500 000 〒,Богенбай батыр,"Сарыарка р-н, Богенбай батыр",https://krisha.kz/a/show/761562527
3-комнатная квартира · 60 м² · 2/9 этаж,27 000 000 〒,Калдаяков 26,"Алматы р-н, Калдаяков 26",https://krisha.kz/a/show/761215117
3-комнатная квартира · 110 м² · 11/17 этаж,43 000 000 〒,Кюйши Дины 22 — ТРЦ Евразия,"Алматы р-н, Кюйши Дины 22 — ТРЦ Евразия",https://krisha.kz/a/show/760831422
2-комнатная квартира · 54.76 м²,от 34 279 760 〒,Туран 57/5,"Нура р-н, Туран 57/5",https://krisha.kz/a/show/696164471
3-комнатная квартира · 85.11 м²,от 37 959 060 〒,Е 652 18,"Есильский р-н, Е 652 18",https://krisha.kz/a/show/695181030
1-комнатная квартира · 49.44 м²,от 14 832 000 〒,М. Тынышбайулы 5,"Алматы р-н, М. Тынышбайулы 5",https://krisha.kz/a/show/691414688
2-комнатная квартира · 63.67 м²,от 25 383 160 〒,Е-429 14,"Нура р-н, Е-429 14",https://krisha.kz/a/show/697253201
1-комнатная квартира · 38.2 м²,от 14 516 000 〒,Шаймерденова 4/3,"Алматы р-н, Шаймерденова 4/3",https://krisha.kz/a/show/682885980
2-комнатная квартира · 57.76 м²,от 26 186 016 〒,Казыбек би 41/1,"Есильский р-н, Казыбек би 41/1",https://krisha.kz/a/show/683926597
2-комнатная квартира · 63 м² · 12/12 этаж,29 999 999 〒,Толе би 25/1 — Улы Дала/ Туран,"Есильский р-н, Толе би 25/1 — Улы Дала/ Туран",https://krisha.kz/a/show/761366687
3-комнатная квартира · 84 м² · 4/8 этаж,51 000 000 〒,Баян сулу 42 — Кыз Жибек,"Есильский р-н, мкр Комсомольский, Баян сулу 42 — Кыз Жибек",https://krisha.kz/a/show/761292473
2-комнатная квартира · 65 м² · 5/14 этаж,41 000 000 〒,Мангилик Ел — Хусейн бен Талал,"Есильский р-н, Мангилик Ел — Хусейн бен Талал",https://krisha.kz/a/show/760993653
2-комнатная квартира · 59.4 м² · 6/12 этаж,26 300 000 〒,Бауыржан Момышулы 16,"Алматы р-н, Бауыржан Момышулы 16",https://krisha.kz/a/show/760828308
4-комнатная квартира · 98.3 м² · 6/9 этаж,73 000 000 〒,Алихана Бокейханова 11,"Есильский р-н, Алихана Бокейханова 11",https://krisha.kz/a/show/696420688
3-комнатная квартира · 95.51 м²,от 59 598 240 〒,Е-899 7,"Нура р-н, Е-899 7",https://krisha.kz/a/show/761098330
1-комнатная квартира · 38.3 м²,от 23 690 250 〒,Анет Баба 4,"Нура р-н, Анет Баба 4",https://krisha.kz/a/show/686616896
2-комнатная квартира · 62 м² · 3/17 этаж,31 500 000 〒,Нажмеденова 29/2 — Нурлы жол,"Сарайшык р-н, Нажмеденова 29/2 — Нурлы жол",https://krisha.kz/a/show/761660104
1-комнатная квартира · 28.53 м² · 15/20 этаж,18 500 000 〒,Төле би 30,"Нура р-н, Төле би 30",https://krisha.kz/a/show/761272948
3-комнатная квартира · 90.9 м² · 13/13 этаж,39 000 000 〒,Чингиза Айтматова 36,"Есильский р-н, Чингиза Айтматова 36",https://krisha.kz/a/show/761217385
2-комнатная квартира · 60.1 м² · 6/18 этаж,39 900 000 〒,Санжара Асфендиярова 11 — Айтеке би,"Есильский р-н, Санжара Асфендиярова 11 — Айтеке би",https://krisha.kz/a/show/760517059
1-комнатная квартира · 37.1 м² · 8/9 этаж,15 000 000 〒,А 91 16,"Алматы р-н, А 91 16",https://krisha.kz/a/show/699808516
1-комнатная квартира · 39 м² · 12/14 этаж,15 000 000 〒,Потанина 3/11 — Магазин Московский,"Сарыарка р-н, Потанина 3/11 — Магазин Московский",https://krisha.kz/a/show/695991797
1-комнатная квартира · 41.41 м² · 14/14 этаж,23 800 000 〒,Анет Баба 4,"Нура р-н, Анет Баба 4",https://krisha.kz/a/show/1000312730
1-комнатная квартира · 37.4 м²,от 22 477 400 〒,Туран 57/5,"Нура р-н, Туран 57/5",https://krisha.kz/a/show/696164097
2-комнатная квартира · 66.31 м²,от 36 138 950 〒,Ахмет Байтурсынулы 14,"Сарайшык р-н, Ахмет Байтурсынулы 14",https://krisha.kz/a/show/690475647
2-комнатная квартира · 69.61 м²,от 29 236 200 〒,Култегин 17,"Нура р-н, Култегин 17",https://krisha.kz/a/show/677885334
2-комнатная квартира · 42 м² · 5/17 этаж,29 700 000 〒,Толе би 16 — Университет Назарбаева,"Есильский р-н, Толе би 16 — Университет Назарбаева",https://krisha.kz/a/show/1000119565
2-комнатная квартира · 80 м² · 13/13 этаж,32 700 000 〒,Мукан Тулебаев 5,"Алматы р-н, Мукан Тулебаев 5",https://krisha.kz/a/show/761236811
1-комнатная квартира · 50 м² · 9/9 этаж,30 000 000 〒,Улы Дала 45 — Туркестан.ул.Улы дала,"Есильский р-н, Улы Дала 45 — Туркестан.ул.Улы дала",https://krisha.kz/a/show/760531503
2-комнатная квартира · 72 м² · 9/12 этаж,59 700 000 〒,Мухамедханова 4/1 — БИЗНЕС КЛАСС,"Есильский р-н, Мухамедханова 4/1 — БИЗНЕС КЛАСС",https://krisha.kz/a/show/699296885
2-комнатная квартира · 41 м² · 2/8 этаж,25 700 000 〒,Азербаев 20 — Гимназия лицей 83,"Алматы р-н, Азербаев 20 — Гимназия лицей 83",https://krisha.kz/a/show/1000374352
5-комнатная квартира · 162 м² · 13/15 этаж,85 000 000 〒,Республики 9/1 — Между проспектом Республики и набережной р Ишим,"Сарыарка р-н, Республики 9/1 — Между проспектом Республики и набережной р Ишим",https://krisha.kz/a/show/697632919
1-комнатная квартира · 32.5 м² · 7/12 этаж,16 500 000 〒,Кордай 79А,"Алматы р-н, Кордай 79А",https://krisha.kz/a/show/760194625
2-комнатная квартира · 50 м² · 9/17 этаж,25 500 000 〒,Сыганак 22/1 — Вдоль Сыганак,"Нура р-н, Сыганак 22/1 — Вдоль Сыганак",https://krisha.kz/a/show/762003787
2-комнатная квартира · 65.2 м² · 10/20 этаж,37 000 000 〒,Туркестан 14а,"Есильский р-н, Туркестан 14а",https://krisha.kz/a/show/760093485
2-комнатная квартира · 70.2 м² · 8/9 этаж,32 000 000 〒,Переулок Ташенова 10,"р-н Байконур, Переулок Ташенова 10",https://krisha.kz/a/show/695996971
2-комнатная квартира · 64.5 м² · 2/10 этаж,39 000 000 〒,Бокейхана,"Есильский р-н, Бокейхана",https://krisha.kz/a/show/694249663
3-комнатная квартира · 85.8 м² · 8/9 этаж,66 000 000 〒,Керей Жанибек хандар 40 — Бокейхана,"Есильский р-н, Керей Жанибек хандар 40 — Бокейхана",https://krisha.kz/a/show/1000134800
3-комнатная квартира · 99.61 м²,от 51 398 760 〒,Турар Рыскулов 18/1,"Есильский р-н, Турар Рыскулов 18/1",https://krisha.kz/a/show/760288052
3-комнатная квартира · 96 м²,от 49 248 000 〒,Анет Баба 4,"Нура р-н, Анет Баба 4",https://krisha.kz/a/show/686616909
2-комнатная квартира · 68.8 м²,от 33 000 000 〒,Е-36 5,"Нура р-н, Е-36 5",https://krisha.kz/a/show/683962804
1-комнатная квартира · 41 м²,от 10 250 000 〒,Н. Тлендиева — ул. Баршын,"Сарыарка р-н, Н. Тлендиева — ул. Баршын",https://krisha.kz/a/show/675971515
2-комнатная квартира · 73.5 м²,от 31 641 750 〒,15/3,"Есильский р-н, Е-321 17/3,17/2, 17/1, 15/1, 15/2, 15/3",https://krisha.kz/a/show/677730582
2-комнатная квартира · 46.8 м²,от 26 535 600 〒,Е 915 15,"Есильский р-н, Е 915 15",https://krisha.kz/a/show/699297662
1-комнатная квартира · 40 м² · 3/9 этаж,20 500 000 〒,Шамши Калдаяков 19/1 — Нажимеденова,"Сарыарка р-н, Шамши Калдаяков 19/1 — Нажимеденова",https://krisha.kz/a/show/761667220
