title,price,location,district,link
2-комнатная квартира · 47 м² · 5/5 этаж,8 600 000 〒,Беркимбаева 182Б,,https://krisha.kz/a/show/1000317257
3-комнатная квартира · 86 м² · 2/2 этаж,12 000 000 〒,2-й Южный проезд 5,,https://krisha.kz/a/show/1000418914
1-комнатная квартира · 36 м² · 1/5 этаж,7 500 000 〒,Кошербаева 60а,,https://krisha.kz/a/show/1000215706
3-комнатная квартира · 93 м² · 3/4 этаж,18 000 000 〒,Автобазовский проезд 19,,https://krisha.kz/a/show/761969414
3-комнатная квартира · 60 м² · 2/5 этаж,18 000 000 〒,Беркимбаева 168,,https://krisha.kz/a/show/672418266
2-комнатная квартира · 60 м² · 2/5 этаж,10 600 000 〒,Пр.Абая 91,,https://krisha.kz/a/show/685980866
2-комнатная квартира · 55.8 м² · 2/2 этаж,10 000 000 〒,Мажхур Жусупа 8 — Автовокзал,,https://krisha.kz/a/show/691858548
1-комнатная квартира · 40 м² · 4/5 этаж,11 000 000 〒,Бауыржана Момышулы 60,,https://krisha.kz/a/show/762076575
4-комнатная квартира · 102 м² · 8/9 этаж,29 500 000 〒,Машхур Жусупа 70 — Тарлан,,https://krisha.kz/a/show/690451555
2-комнатная квартира · 52 м² · 2/5 этаж,11 500 000 〒,Энергетиков 64,,https://krisha.kz/a/show/760239776
3-комнатная квартира · 57.3 м² · 1/5 этаж,14 000 001 〒,Ауэзова 63/2,,https://krisha.kz/a/show/1000289100
4-комнатная квартира · 74.4 м² · 1/5 этаж,15 000 000 〒,Машхур Жусупа 151,,https://krisha.kz/a/show/1000349187
3-комнатная квартира · 66.2 м² · 2/9 этаж,21 500 000 〒,Абая 68,,https://krisha.kz/a/show/697860955
3-комнатная квартира · 61.5 м² · 5/5 этаж,14 000 000 〒,Шешембекова,,https://krisha.kz/a/show/699711979
3-комнатная квартира · 65.9 м² · 2/9 этаж,15 900 000 〒,Ауезова 167/68,,https://krisha.kz/a/show/761051134
2-комнатная квартира · 46.5 м² · 4/5 этаж,11 000 000 〒,22 мкр.Беркимбаева 166,,https://krisha.kz/a/show/698359570
2-комнатная квартира · 50.5 м² · 6/9 этаж,18 000 000 〒,Улица М.Жусупа 47,,https://krisha.kz/a/show/762061824
3-комнатная квартира · 65 м² · 9/9 этаж,17 500 000 〒,Абая 49/4 — Ул.Абая и ул.Ауэзова,,https://krisha.kz/a/show/694881326
3-комнатная квартира · 72 м² · 1/6 этаж,20 000 000 〒,Абая,,https://krisha.kz/a/show/690389587
2-комнатная квартира · 48.6 м² · 4/5 этаж,13 000 000 〒,Б. Момышулы 94,,https://krisha.kz/a/show/760454486
2-комнатная квартира · 50.6 м² · 4/9 этаж,15 500 000 〒,Ауэзова 9 мкр,,https://krisha.kz/a/show/760635031
1-комнатная квартира · 36 м² · 4/4 этаж,5 100 000 〒,Бауыржан момышулы 24 — Горсет,,https://krisha.kz/a/show/1000410697
3-комнатная квартира · 60.4 м² · 3/5 этаж,15 000 000 〒,Королева 96,,https://krisha.kz/a/show/698430344
4-комнатная квартира · 100.3 м² · 3/3 этаж,28 000 000 〒,Габбаса Сагиденова — Прокуратура,,https://krisha.kz/a/show/698433237
4-комнатная квартира · 62 м² · 5/5 этаж,25 000 000 〒,Кешілер 13 — Машһұр Жусуп,,https://krisha.kz/a/show/762068200
3-комнатная квартира · 59 м² · 5/5 этаж,13 000 000 〒,Беркембаева 190 А — За магазином Уголек,,https://krisha.kz/a/show/1000389723
4-комнатная квартира · 128 м² · 2/2 этаж,38 000 000 〒,Алия Молдагулова 75/1 — Наурыз Алия Молдагулова,,https://krisha.kz/a/show/693968510
3-комнатная квартира · 61.7 м² · 5/5 этаж,13 600 000 〒,Беркимбаева 182а,,https://krisha.kz/a/show/1000218716
3-комнатная квартира · 83.4 м² · 2/2 этаж,12 100 000 〒,Абая 136,,https://krisha.kz/a/show/694636703
3-комнатная квартира · 61.5 м² · 5 этаж,14 600 000 〒,Ауэзова 93,,https://krisha.kz/a/show/697981115
4-комнатная квартира · 75.6 м² · 5/5 этаж,19 500 000 〒,Кеншилер 121 — Пересечение Энергетиков/Кеншилер,,https://krisha.kz/a/show/762316888
2-комнатная квартира · 50 м² · 9/9 этаж,11 000 000 〒,Машхур Жусуп 64,,https://krisha.kz/a/show/762024629
3-комнатная квартира · 60 м² · 4/5 этаж,11 000 000 〒,Абая 91 — Абая/Торайгырова,,https://krisha.kz/a/show/760008947
3-комнатная квартира · 59.5 м² · 5/5 этаж,12 500 000 〒,Момышулы 111,,https://krisha.kz/a/show/698053297
2-комнатная квартира · 44.1 м² · 5/5 этаж,9 000 000 〒,"Королева — Школа 9,11. садик, тотц сауле магазин, рынок.",рынок.,https://krisha.kz/a/show/760162632
1-комнатная квартира · 29 м² · 4/5 этаж,9 000 000 〒,Академика Марденова 15,,https://krisha.kz/a/show/699778212
3-комнатная квартира · 66 м² · 1/5 этаж,11 000 000 〒,Беркимбаева 168 — 22 мкр,,https://krisha.kz/a/show/761679857
3-комнатная квартира · 57.8 м² · 3/5 этаж,15 000 000 〒,Королева — Маг.Дария,,https://krisha.kz/a/show/762247482
1-комнатная квартира · 30 м² · 4/5 этаж,6 500 000 〒,Матросова 9,,https://krisha.kz/a/show/679639587
3-комнатная квартира · 67 м² · 6/9 этаж,21 000 000 〒,М.Жусуп 72,,https://krisha.kz/a/show/671552888
2-комнатная квартира · 43 м² · 1/5 этаж,8 000 000 〒,Пшембаева 27,,https://krisha.kz/a/show/695714008
2-комнатная квартира · 48.4 м² · 4/5 этаж,13 000 000 〒,Шешембекова 3,,https://krisha.kz/a/show/686657303
3-комнатная квартира · 60 м² · 1/5 этаж,17 500 000 〒,Маншук Маметовой 71 — Энергетиков,,https://krisha.kz/a/show/672690667
3-комнатная квартира · 84.8 м² · 2/5 этаж,23 000 000 〒,Бауржан Момышулы 119 — Напротив гостиницы «Амелия»,,https://krisha.kz/a/show/694857766
4-комнатная квартира · 95 м² · 8/9 этаж,35 000 000 〒,Машхур Жусупа 46,,https://krisha.kz/a/show/694618979
2-комнатная квартира · 50 м² · 4/5 этаж,12 300 000 〒,Шешембекова 13,,https://krisha.kz/a/show/697898383
